id.accession,id.assay name,id.sample name,study.characteristics.organism,study.factor value.absorbed radiation dose,study.factor value.age,study.factor value.altered gravity,study.factor value.atmospheric pressure,study.factor value.cell cycle phase,study.factor value.cultivar,study.factor value.ecotype,study.factor value.exposure duration,study.factor value.generation,study.factor value.genotype,study.factor value.growth time,study.factor value.ionizing radiation,study.factor value.light,study.factor value.magnetic field,study.factor value.microgravity simulation,study.factor value.organism part,study.factor value.sample preservation method,study.factor value.soil environment exposure,study.factor value.spacecraft,study.factor value.spaceflight,study.factor value.time,study.factor value.time of sample collection after treatment,study.factor value.tissue,study.factor value.tissue segment,study.factor value.treatment
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep1","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"hypocotyl",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep2","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"hypocotyl",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep3","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"hypocotyl",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep4","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"hypocotyl",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep5","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"hypocotyl",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Hypocotyl_GC_Rep1","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"hypocotyl",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Hypocotyl_GC_Rep2","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"hypocotyl",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Hypocotyl_GC_Rep3","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"hypocotyl",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Hypocotyl_GC_Rep4","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"hypocotyl",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Hypocotyl_GC_Rep5","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"hypocotyl",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
