"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_Ler-0_sShoots_FLT_Rep1","Atha_Ler-0_sShoots_FLT_Rep2","Atha_Ler-0_sShoots_FLT_Rep3","Atha_Ler-0_sShoots_GC_Rep1","Atha_Ler-0_sShoots_GC_Rep2","Atha_Ler-0_sShoots_GC_Rep3"
"AT1G01010","ANAC001|NAC001|NTL10",NA,"NM_099983|NP_171609",839580,"3702.AT1G01010.1",NA,"261585_at",1,4.61602058294481,4.53313309138775,4.66262302459538,5.75952200303272,5.63843556789897,4.74136745850895
"AT1G01030","NGA3",NA,"NM_001331244|NM_099985|NP_001322175|NP_171611",839321,"3702.AT1G01030.1",NA,"261568_at",1,1.12783527334063,1.51470259425413,1.30988061955096,1.75662678711867,1.02597781704214,1.23240917549554
"AT1G01040","ASU1|ATDCL1|CAF|DCL1|EMB60|EMB76|SIN1|SUS1","Encodes a Dicer homolog. Dicer is a RNA helicase involved in microRNA processing. Mutations in this locus can result in embryo lethality. Embryo shape at seed maturity is globular-elongate. Other mutants convert the floral meristems to an indeterminate state, others yet show defects in ovule development. mRNA is expressed in all shoot tissues. DCL1 is able to produce miRNAs and siRNAs.","NM_001197952|NM_099986|NP_001184881|NP_171612",839574,"3702.AT1G01040.2","GO:0010629|GO:0010608|GO:0006725|GO:0048519|GO:0016070|GO:0006396|GO:0010467|GO:0035194|GO:0006139|GO:0050789|GO:1901360|GO:0006807|GO:0016458|GO:0010468|GO:0040029|GO:0008152|GO:0071704|GO:0046483|GO:0043170|GO:0044237|GO:0016246|GO:0009892|GO:0034641|GO:0031047|GO:0009987|GO:0044238|GO:0090304|GO:0060255|GO:0016441|GO:0010605|GO:0065007|GO:0019222|GO:0140098|GO:0016788|GO:0003676|GO:0003723|GO:0004518|GO:0005488|GO:0003824|GO:0097159|GO:0004521|GO:0016787|GO:0004519|GO:0004540|GO:1901363|GO:0005737|GO:0005634|GO:0043231|GO:0005622|GO:0043227|GO:0110165|GO:0043226|GO:0043229","261584_at",1,6.99464167946918,6.73258481625432,6.88543407783756,5.79696466917904,6.47817102604783,7.19498633688887
"AT1G01050","AtPPa1|PPa1","Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.","NM_001331245|NM_099987|NP_001322481|NP_171613",839579,"3702.AT1G01050.1|3702.AT5G09650.1","GO:0044237|GO:0009987|GO:0006793|GO:0006796|GO:0008152|GO:0016787|GO:0016462|GO:0016818|GO:0016817|GO:0003824","261579_at",1,5.9394856976124,6.58172178603421,5.96599812950072,5.92196629176353,5.2353854995965,4.92497476085717
"AT1G01060","LHY|LHY1","LHY encodes a myb-related putative transcription factor involved in circadian rhythm along with another myb transcription factor CCA1","NM_001035847|NM_001083968|NM_001197953|NM_001331246|NM_001331247|NM_001331248|NM_099988|NM_179237|NP_001030924|NP_001077437|NP_001184882|NP_001320627|NP_001320628|NP_001320629|NP_171614|NP_849568",839341,"3702.AT1G01060.2",NA,"261569_at",1,1.53902380701138,1.70159447020822,1.5620944484663,2.09648496915679,1.53979490009932,1.22220686786889
"AT1G01070","UMAMIT28",NA,"NM_099989|NM_202005|NP_563617|NP_973734",839550,"3702.AT1G01070.1","GO:0071944|GO:0110165|GO:0016020|GO:0005886","261576_at",1,1.40962779950255,1.52960948998654,1.68526398731071,1.71440437057652,1.33200943107518,2.18990306583596
"AT1G01080",NA,NA,"NM_001035848|NM_001331249|NM_099990|NP_001030925|NP_001320997|NP_171616",839463,"3702.AT1G01080.2","GO:0006725|GO:0046483|GO:0044085|GO:0016070|GO:0043170|GO:0006364|GO:0006396|GO:0010467|GO:0044237|GO:0034641|GO:0009987|GO:0006139|GO:0044238|GO:0071840|GO:0034660|GO:0090304|GO:1901360|GO:0034470|GO:0006807|GO:0016072|GO:0022613|GO:0042254|GO:0008152|GO:0071704|GO:0003676|GO:0003723|GO:0003729|GO:1901363|GO:0005488|GO:0097159|GO:0009534|GO:0031976|GO:0009579|GO:0043231|GO:0034357|GO:0042651|GO:0031984|GO:0005829|GO:0110165|GO:0043226|GO:0009507|GO:0016020|GO:0009535|GO:0043229|GO:0009536|GO:0005737|GO:0005622|GO:0043227","261577_at",1,1.41391283478025,1.33808478657691,1.85082515383668,1.51329183268818,1.44302072230004,1.33429308730681
"AT1G01090","PDH-E1","pyruvate dehydrogenase E1 alpha subunit","NM_099991|NP_171617",839429,"3702.AT1G01090.1",NA,"261583_at",1,7.7410937282988,7.66179598088416,7.78206872588331,7.21075344207375,6.91246004193864,6.61438488000356
"AT1G01100","RPP1.1|RPP1A",NA,"NM_001083969|NM_001083970|NM_099992|NM_179238|NP_001077438|NP_001077439|NP_171618|NP_849569",839410,"3702.AT1G01100.2",NA,"261578_at",1,8.52292445298049,8.72398097805815,8.8022765413194,8.34836662263875,7.89527923570303,8.03850601793919
"AT1G01110","IQD18",NA,"NM_001123732|NM_001331250|NP_001117204|NP_001318900",839394,"3702.AT1G01110.2",NA,"261580_at",1,2.33888209036916,2.77411699178331,2.66110496110337,1.7390292369192,2.13039135901363,1.76594992796462
