"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_Col-0_sl_FLT_BA1","Atha_Col-0_sl_FLT_BA2","Atha_Col-0_sl_FLT_BA3","Atha_Col-0_sl_FLT_BA4","Atha_Col-0_sl_FLT_BA5","Atha_Col-0_sl_FLT_BG1","Atha_Col-0_sl_GC_BA1","Atha_Col-0_sl_GC_BA2","Atha_Col-0_sl_GC_BA3","Atha_Col-0_sl_GC_BA4","Atha_Col-0_sl_GC_BA5","Atha_Col-0_sl_GC_BG1","Atha_Col-0_UdCC_FLT_BB2","Atha_Col-0_UdCC_FLT_BB3","Atha_Col-0_UdCC_FLT_BB4","Atha_Col-0_UdCC_FLT_BB5","Atha_Col-0_UdCC_FLT_BG2","Atha_Col-0_UdCC_FLT_BG3","Atha_Col-0_UdCC_GC_BB2","Atha_Col-0_UdCC_GC_BB3","Atha_Col-0_UdCC_GC_BB4","Atha_Col-0_UdCC_GC_BB5","Atha_Col-0_UdCC_GC_BG2","Atha_Col-0_UdCC_GC_BG3"
"AT1G01010","ANAC001|NAC001|NTL10",NA,"NM_099983|NP_171609",839580,"3702.AT1G01010.1",NA,"261585_at",1,1.52808795588511,1.14061499154062,1.77059016389158,1.14061499154062,1.13150091419076,1.36920268517552,1.12032670950981,0.829484769898259,1.31741057450156,1.11906840455289,1.385341891267,1.23442404391586,2.36704786002125,2.11908740311597,1.94717711723227,2.66275907548865,2.27851039701471,2.38648690268145,1.40912835731243,2.72754463409424,2.18874457323553,2.20351007832036,1.76964862994643,1.94080719553436
"AT1G01030","NGA3",NA,"NM_001331244|NM_099985|NP_001322175|NP_171611",839321,"3702.AT1G01030.1",NA,"261568_at",1,1.24545875804305,1.24672206371712,1.14328752749547,1.3954184998379,1.48152735622948,1.55826909121047,1.50759531506154,1.33886907490592,1.33746256943807,1.80201167590241,2.3963701975124,1.64381846361052,0.813556331334864,1.06118231907238,0.639441525989595,0.991163051882223,0.800869249597949,0.646544994072402,0.955706230455263,1.00301739094192,0.865900321360993,0.692534144207122,0.919318122926205,1.05204139535974
"AT1G01040","ASU1|ATDCL1|CAF|DCL1|EMB60|EMB76|SIN1|SUS1","Encodes a Dicer homolog. Dicer is a RNA helicase involved in microRNA processing. Mutations in this locus can result in embryo lethality. Embryo shape at seed maturity is globular-elongate. Other mutants convert the floral meristems to an indeterminate state, others yet show defects in ovule development. mRNA is expressed in all shoot tissues. DCL1 is able to produce miRNAs and siRNAs.","NM_001197952|NM_099986|NP_001184881|NP_171612",839574,"3702.AT1G01040.2","GO:0010629|GO:0010608|GO:0006725|GO:0048519|GO:0016070|GO:0006396|GO:0010467|GO:0035194|GO:0006139|GO:0050789|GO:1901360|GO:0006807|GO:0016458|GO:0010468|GO:0040029|GO:0008152|GO:0071704|GO:0046483|GO:0043170|GO:0044237|GO:0016246|GO:0009892|GO:0034641|GO:0031047|GO:0009987|GO:0044238|GO:0090304|GO:0060255|GO:0016441|GO:0010605|GO:0065007|GO:0019222|GO:0140098|GO:0016788|GO:0003676|GO:0003723|GO:0004518|GO:0005488|GO:0003824|GO:0097159|GO:0004521|GO:0016787|GO:0004519|GO:0004540|GO:1901363|GO:0005737|GO:0005634|GO:0043231|GO:0005622|GO:0043227|GO:0110165|GO:0043226|GO:0043229","261584_at",1,2.41726601542907,2.11304074638062,1.48895830653958,3.94027005187649,3.79067777195323,2.40866230987343,2.26597752571914,1.80571212148228,2.47009419594076,2.02719847106933,2.86365610623146,2.4347313768462,4.73841800089764,4.89393103951529,4.49411641908422,5.04546776035563,4.42684631569888,4.62290534686429,4.17256531420525,4.74810520969579,4.9907219125781,4.59077066210683,4.07538554970357,4.34283979498452
"AT1G01050","AtPPa1|PPa1","Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.","NM_001331245|NM_099987|NP_001322481|NP_171613",839579,"3702.AT1G01050.1|3702.AT5G09650.1","GO:0044237|GO:0009987|GO:0006793|GO:0006796|GO:0008152|GO:0016787|GO:0016462|GO:0016818|GO:0016817|GO:0003824","261579_at",1,2.4196973182581,2.62803475567402,1.99474117455181,2.13086747168779,2.57714687304768,1.78740959971141,2.96356813016609,2.52866200271678,2.57715954585732,2.33330660675754,2.13811765264589,2.33527213804215,3.60622510570289,4.13475772456535,3.99281988939237,3.62040688609021,4.60334940852955,3.96504029825929,2.9398164548061,3.34638899869124,3.84396761458709,3.87080785991374,3.31635350882426,3.70360317676988
"AT1G01060","LHY|LHY1","LHY encodes a myb-related putative transcription factor involved in circadian rhythm along with another myb transcription factor CCA1","NM_001035847|NM_001083968|NM_001197953|NM_001331246|NM_001331247|NM_001331248|NM_099988|NM_179237|NP_001030924|NP_001077437|NP_001184882|NP_001320627|NP_001320628|NP_001320629|NP_171614|NP_849568",839341,"3702.AT1G01060.2",NA,"261569_at",1,2.06177079556733,1.56047935313279,1.50645636832038,1.61896844916133,1.81390636113935,1.79756859093899,3.19301144051197,0.983191350676557,1.20244001833003,1.24039559199143,1.67058745273791,1.14408162149791,1.09214469388504,1.52876421232493,1.23928064264644,2.10132535652235,1.45327265327033,1.80674517971539,1.12546973891983,1.46075890096028,1.25759207228798,1.35450152981483,2.79099359928241,1.60701341252902
"AT1G01070","UMAMIT28",NA,"NM_099989|NM_202005|NP_563617|NP_973734",839550,"3702.AT1G01070.1","GO:0071944|GO:0110165|GO:0016020|GO:0005886","261576_at",1,1.0973868219846,1.37775881799088,1.36518931962518,1.22000643411859,0.887330331711688,1.09367070905437,1.2180584088338,1.2924482533966,1.13966746581093,1.55992112780401,0.983807178582105,1.28618267938775,0.96385912158727,1.12347663929474,0.794573310521621,0.839787995100585,0.946822804050748,0.878592304568673,1.3487351097132,0.851787183355828,1.11954615883892,1.14811896443436,1.03146874177883,0.773204662020055
"AT1G01080",NA,NA,"NM_001035848|NM_001331249|NM_099990|NP_001030925|NP_001320997|NP_171616",839463,"3702.AT1G01080.2","GO:0006725|GO:0046483|GO:0044085|GO:0016070|GO:0043170|GO:0006364|GO:0006396|GO:0010467|GO:0044237|GO:0034641|GO:0009987|GO:0006139|GO:0044238|GO:0071840|GO:0034660|GO:0090304|GO:1901360|GO:0034470|GO:0006807|GO:0016072|GO:0022613|GO:0042254|GO:0008152|GO:0071704|GO:0003676|GO:0003723|GO:0003729|GO:1901363|GO:0005488|GO:0097159|GO:0009534|GO:0031976|GO:0009579|GO:0043231|GO:0034357|GO:0042651|GO:0031984|GO:0005829|GO:0110165|GO:0043226|GO:0009507|GO:0016020|GO:0009535|GO:0043229|GO:0009536|GO:0005737|GO:0005622|GO:0043227","261577_at",1,1.14271198998045,1.38278600498259,0.95094512654482,1.66083933647258,1.18149697084647,1.4532984340571,1.00008562120164,1.01133683754838,1.06549444807596,1.13577418285577,1.08113262240459,0.931943669716439,1.27443328901703,1.26859329946356,1.4969189000658,1.27450300440484,1.4625178252328,1.19267741136147,0.914307156684006,1.23689242610038,1.22050085937201,1.07473587873564,0.895263762102788,1.13196960071935
"AT1G01090","PDH-E1","pyruvate dehydrogenase E1 alpha subunit","NM_099991|NP_171617",839429,"3702.AT1G01090.1",NA,"261583_at",1,3.38960448292613,2.36727739092044,2.66941857180026,3.22493254084553,2.98822432489971,2.2366909679161,1.80849950471404,4.08920241069836,3.94611736328813,0.748239827519761,3.26988047410742,0.750205358804372,5.79007904995434,6.00104701099263,5.59682725993112,6.6548493907795,5.91615638010966,6.24198141536661,4.45065825831654,6.12512229595174,6.06910168031554,5.95363463893281,6.20847885787305,6.13735143104286
"AT1G01100","RPP1.1|RPP1A",NA,"NM_001083969|NM_001083970|NM_099992|NM_179238|NP_001077438|NP_001077439|NP_171618|NP_849569",839410,"3702.AT1G01100.2",NA,"261578_at",1,6.48449376570424,6.38228561694026,5.30892033107089,6.91677277045538,4.73901824800011,6.43904034089788,5.78535042186524,6.7584419659215,6.0926778099083,4.10049209664453,5.53278340192478,6.66824234652434,7.30759868158023,6.95167035232944,7.38869228200125,7.17925276699295,7.25837873748855,7.34709091688996,6.18272910369846,7.09314821938474,7.13566548603564,7.00052013798248,6.97552323128926,7.17750126357886
"AT1G01110","IQD18",NA,"NM_001123732|NM_001331250|NP_001117204|NP_001318900",839394,"3702.AT1G01110.2",NA,"261580_at",1,1.27934017079402,1.36512934478583,2.71653850298436,1.12832435200841,1.20014128235832,3.99402828730204,1.67690137700125,1.44473389664279,1.4368174970179,1.72247394946339,2.45889064796923,2.53337751984103,1.29453213061069,1.16033620827579,1.29414729402172,1.41583732190609,1.36567754813551,1.22494781131973,0.994944327673695,1.01889502048821,1.18087359016277,1.20732854093277,1.16824163114256,1.08369779575372
