"","GSM4880342","GSM4880343","GSM4880344","GSM4880345","GSM4880346","GSM4880347","GSM4880348","GSM4880349","GSM4880350","GSM4880351","GSM4880352","GSM4880353","GSM4880354","GSM4880355","GSM4880356","GSM4880357","GSM4880358","GSM4880359","GSM4880360","GSM4880361","GSM4880362","GSM4880363","GSM4880364","GSM4880365"
"AT1G01010",2852,1619,2465,2966,1614,2043,2668,1975,2268,2228,3055,2710,1959,2129,1895,1849,1200,1619,2121,1735,1389,1666,1726,1128
"AT1G01020",638,441,758,586,238,405,633,425,618,353,539,571,431,297,458,436,370,581,380,575,118,439,330,544
"AT1G01030",45,22,58,225,13,61,17,47,52,53,32,110,2,0,0,12,38,44,51,29,11,8,33,25
"AT1G01040",2191,1714,1282,2612,1795,2097,3546,2717,3349,3323,2979,4220,3699,2977,2898,3062,2216,2327,2921,3221,966,2062,3018,3102
"AT1G01046",0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AT1G01050",3429,2691,3125,3822,2542,2673,3435,3542,2858,2281,3162,3538,3834,3231,3513,4045,2451,3201,2952,4540,2940,2749,2818,4109
"AT1G01060",2629,1651,2522,2393,1148,1655,2240,2220,2324,1860,1470,2429,9211,18395,7922,6356,1542,6769,9355,9228,9983,5668,6303,1712
"AT1G01070",1437,1190,849,1559,901,738,1605,1298,1299,1697,1636,2100,2461,1674,2346,1024,894,1048,2406,2750,1221,700,875,1145
"AT1G01080",498,277,306,249,305,364,201,266,156,318,509,333,414,325,364,651,478,570,380,516,237,631,477,740
"AT1G01090",5279,4172,3771,4985,3489,3959,4656,5500,4631,4858,4529,4492,7022,5361,5749,7714,4380,6859,5681,8629,6842,6597,8471,9286
"AT1G01100",10350,11708,10920,11270,7964,8739,11620,11386,8502,8627,10250,10403,10261,8138,9499,15447,7765,10987,8636,15009,12125,12463,10627,16328
"AT1G01110",723,511,547,583,382,379,747,993,529,346,389,503,490,175,324,488,297,199,275,585,493,261,213,611
"AT1G01120",1457,1148,778,1087,634,854,1920,1385,1700,2059,3042,2544,2419,2691,1455,3097,2711,3925,2168,1700,1974,3425,3462,3248
"AT1G01130",0,0,0,7,14,0,1,25,17,0,18,0,16,0,0,11,13,5,14,10,10,20,3,10
"AT1G01140",214,304,164,226,193,174,831,1037,378,618,620,598,948,779,652,563,253,474,613,895,439,461,630,449
"AT1G01150",0,0,28,0,0,0,15,0,21,25,0,0,20,0,24,35,31,20,10,10,13,0,7,8
"AT1G01160",1991,1561,1509,1569,1047,1417,1295,911,1220,1507,1857,1540,1382,947,1484,1370,819,1023,1225,1466,1007,1019,1161,1441
"AT1G01170",1377,404,1076,1133,583,747,816,630,930,1210,1001,1449,959,855,764,337,564,496,932,859,509,425,424,548
"AT1G01180",1398,1390,977,1029,1097,1017,1930,953,1266,1241,1454,1304,1318,1143,931,1076,739,1142,733,830,918,1175,1150,633
"AT1G01183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
