"","A4_208","A4_223","A4_258","A4Ex_248","A6_203","A6_213","A6_253","A6Ex_243","B4_237","B4_238","B4_269","B4Ex_236","B6_219","B6_232","B6_233","B6Ex_220","G6_283","G6_284","G6_286"
"AT1G01010",63,64,45,101,59,54,87,70,43,34,87,74,55,47,58,76,84,82,81
"AT1G01020",162,217,176,234,208,189,202,204,202,305,195,228,268,256,197,338,254,194,136
"AT1G01030",41,73,62,66,87,58,79,74,107,117,53,84,101,105,48,104,169,120,88
"AT1G01040",1125,1591,719,1690,799,865,761,872,1014,1058,1431,1006,998,753,987,1594,1101,984,896.08
"AT1G01046",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01050",883,964,936,1504,717,613,896,874,546,649,1150,739,774,606,591,1155,1301,1245,1183
"AT1G01060",11967,15429,12945,20556,15420,14186,16349,17993,14644,18637,12691,14950,16986,11626,10945,14742,12777,12646,11632
"AT1G01070",9,16,10,49,17,21,16,14,17,29,14,49,17,24,19,22,28,18,33
"AT1G01080",1318,1776,1401,2187,2121,2506,2150,2402,1913,2405,1264,1395,2240,1497,1018,1021,983,1779,1603
"AT1G01090",3729,4879,4209,6225,4544,4807,5041,5268,4563,5246,3730,4919,5447,4306,3279,3955,4527,4847,4561
"AT1G01100",2652.92,3153,2063,3691,4550,6140,6044,4869,3474,4697,2696,4127,6640,6558,3991,4685,4715,6761,6715
"AT1G01110",124,159,116,190,77,105,106,118,58,65,125,136,101,99,80,138,88,76,139
"AT1G01120",1744,3271,1811,3993,1855,1655,3286,3055,1046,733,2186,3194,1677,1325,1522,2737,1223,1900,2215
"AT1G01130",62,125,32,145,31,17,35,24,21,17,68,37,11,16,12,26,18,7,19
"AT1G01140",1410,2004,1462,2909,2070,1603,2677,2078,1693,1841,1409,1768,1649,1142,1442,2657,1247,1248,1036
"AT1G01150",0,3,0,1,0,0,0,0,0,3,1,2,1,5,2,10,1,1,6
"AT1G01160",440,466.44,355.26,604,400.41,571.26,547.06,546.02,373,425,351.05,550,713,676,452,599.48,695,677.16,494.13
"AT1G01170",823,847.56,957.74,1409,731.59,902.74,1149.94,1078.98,533,626,858.95,735,697,657,502,1132.52,1226,1254.84,1184.87
"AT1G01180",37,50,45,96,52,64,130,92,76,103,53,99,97,85,52,104,240,222,211
"AT1G01183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01190",11,10,12,8,5,6,6,18,10,5,12,9,6,7,8,5,9,4,9
"AT1G01200",32,59,47,70,37,20,21,20,22,20,61,54,24,34,27,12,5,14,4
"AT1G01210",173.2,239.96,165.37,298.63,229,400,502.15,384.27,161.5,173.56,210,237.21,394,357.42,325.35,389.94,444.99,409.41,302
"AT1G01220",196,323,204,444.16,240,366.74,503,277.84,324,391,295,345.58,420,418.28,359.83,521,240.34,382,426
"AT1G01225",14,26,33,46,29,23,28,59,33,38,33,21,48,44,23,16,31,41,52
"AT1G01230",125,212,108,318,196,141,192,194,223,247,197,340,300,235,203,293,175,183,213
