"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_WS-0_Whole-Plant_FLT_Rep1","Atha_WS-0_Whole-Plant_FLT_Rep2","Atha_WS-0_Whole-Plant_FLT_Rep3","Atha_WS-0_Whole-Plant_GC_Rep1","Atha_WS-0_Whole-Plant_GC_Rep2","Atha_WS-0_Whole-Plant_GC_Rep3","Atha_WS-0_Col-0_Shoot_FLT_Rep1","Atha_WS-0_Col-0_Shoot_FLT_Rep2","Atha_WS-0_Col-0_Shoot_FLT_Rep3","Atha_WS-0_Col-0_Shoot_FLT_Rep4","Atha_WS-0_Col-0_Shoot_FLT_Rep5","Atha_WS-0_Col-0_Shoot_GC_Rep1","Atha_WS-0_Col-0_Shoot_GC_Rep2","Atha_WS-0_Col-0_Shoot_GC_Rep3","Atha_WS-0_Col-0_Shoot_GC_Rep4","Atha_WS-0_Col-0_Shoot_GC_Rep5","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep1","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep2","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep3","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep4","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep5","Atha_WS-0_Col-0_Hypocotyl_GC_Rep1","Atha_WS-0_Col-0_Hypocotyl_GC_Rep2","Atha_WS-0_Col-0_Hypocotyl_GC_Rep3","Atha_WS-0_Col-0_Hypocotyl_GC_Rep4","Atha_WS-0_Col-0_Hypocotyl_GC_Rep5","Atha_WS-0_Col-0_Root_FLT_Rep1","Atha_WS-0_Col-0_Root_FLT_Rep2","Atha_WS-0_Col-0_Root_FLT_Rep3","Atha_WS-0_Col-0_Root_FLT_Rep4","Atha_WS-0_Col-0_Root_FLT_Rep5","Atha_WS-0_Col-0_Root_GC_Rep1","Atha_WS-0_Col-0_Root_GC_Rep2","Atha_WS-0_Col-0_Root_GC_Rep3","Atha_WS-0_Col-0_Root_GC_Rep4","Atha_WS-0_Col-0_Root_GC_Rep5"
"AT1G01010","ANAC001|NAC001|NTL10",NA,"NM_099983|NP_171609",839580,"3702.AT1G01010.1",NA,"261585_at",1,3.19762443284699,3.80115400254248,4.23620834342932,3.37842090995868,3.63789046584678,3.76771052406897,3.17812625518951,3.24928719846008,3.29025811934002,2.78108139830784,2.97604649752123,3.13584187898889,2.58035194147444,3.36756890265791,3.45182979890425,3.22563118969683,3.91554882624238,3.44760884668843,4.36138393737028,3.7743558670011,4.6067133745661,4.05923800875837,3.63644199030274,3.63889119589407,3.84009946204532,4.16482975210972,4.77112615850664,4.60200344411798,4.7954345735943,4.58643875937215,4.63088928288873,4.74770615660403,4.83357494976895,4.00164029710974,4.893564391688,4.49072869908689
"AT1G01030","NGA3",NA,"NM_001331244|NM_099985|NP_001322175|NP_171611",839321,"3702.AT1G01030.1",NA,"261568_at",1,2.68782191463977,1.98528611651989,2.5197095660348,2.69551789840366,2.09538186187089,2.54009376565355,2.13448802090106,2.03999867554206,2.19238074267676,2.16273930672029,2.01798406045781,2.26902225572365,2.11674477542064,2.23766650195121,2.45583027874002,2.43122068793733,2.110339236323,2.13277024006086,1.82495274098844,1.91385271178732,1.87839028905162,2.3494044947923,2.03938469986411,1.6003419414455,2.04070600478978,1.85375804323215,2.38365454074106,2.02624729217064,2.16705659596989,2.33408363614425,2.05241993000265,1.92565878703301,2.10815733493186,2.34740412546018,2.138952151967,2.01887956585338
"AT1G01040","ASU1|ATDCL1|CAF|DCL1|EMB60|EMB76|SIN1|SUS1","Encodes a Dicer homolog. Dicer is a RNA helicase involved in microRNA processing. Mutations in this locus can result in embryo lethality. Embryo shape at seed maturity is globular-elongate. Other mutants convert the floral meristems to an indeterminate state, others yet show defects in ovule development. mRNA is expressed in all shoot tissues. DCL1 is able to produce miRNAs and siRNAs.","NM_001197952|NM_099986|NP_001184881|NP_171612",839574,"3702.AT1G01040.2","GO:0010629|GO:0010608|GO:0006725|GO:0048519|GO:0016070|GO:0006396|GO:0010467|GO:0035194|GO:0006139|GO:0050789|GO:1901360|GO:0006807|GO:0016458|GO:0010468|GO:0040029|GO:0008152|GO:0071704|GO:0046483|GO:0043170|GO:0044237|GO:0016246|GO:0009892|GO:0034641|GO:0031047|GO:0009987|GO:0044238|GO:0090304|GO:0060255|GO:0016441|GO:0010605|GO:0065007|GO:0019222|GO:0140098|GO:0016788|GO:0003676|GO:0003723|GO:0004518|GO:0005488|GO:0003824|GO:0097159|GO:0004521|GO:0016787|GO:0004519|GO:0004540|GO:1901363|GO:0005737|GO:0005634|GO:0043231|GO:0005622|GO:0043227|GO:0110165|GO:0043226|GO:0043229","261584_at",1,8.52189529113526,8.38236106267254,8.66843488196741,8.52879756447755,8.62181768707704,8.87069177313566,5.81363402633082,5.4158189028436,6.27591499677775,5.54434862360741,6.58483519733075,5.18886612489225,5.4192010718413,5.74253841531953,5.82252068144353,5.9806712251222,6.48660422609057,6.74091472483453,6.95374639104783,6.63469812821062,6.94358767651857,6.56027929488554,6.7675491527676,6.77674502883795,7.0622395796476,6.58987469881163,6.75338786332618,6.32655678074437,6.56821994496219,6.25544582723963,6.38241440607254,6.26031784187767,6.54421297010738,5.9056318564615,6.20037828042855,6.13129853824184
"AT1G01050","AtPPa1|PPa1","Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.","NM_001331245|NM_099987|NP_001322481|NP_171613",839579,"3702.AT1G01050.1|3702.AT5G09650.1","GO:0044237|GO:0009987|GO:0006793|GO:0006796|GO:0008152|GO:0016787|GO:0016462|GO:0016818|GO:0016817|GO:0003824","261579_at",1,6.67463699081913,6.90052060099159,6.61828623759035,6.94442950698078,7.06971300264028,6.77174219471916,8.56497944449025,8.42051526319367,8.62502771230489,8.44303951525814,8.70994683676293,8.44262847080398,8.60845771200377,8.59637373805887,8.52264105457584,8.59038798933227,9.06671040335741,9.13389981309946,8.96928169614542,8.94447880668103,9.07987271298444,9.14134102074305,9.12790850595801,9.00473785274109,9.19903307142537,9.15733229615232,8.55655606233106,9.18750932725354,8.59618161173052,8.69539034295059,8.80439649719278,8.92929217004569,8.90086971823681,9.01457432982712,8.85767633103739,8.93130924283701
"AT1G01060","LHY|LHY1","LHY encodes a myb-related putative transcription factor involved in circadian rhythm along with another myb transcription factor CCA1","NM_001035847|NM_001083968|NM_001197953|NM_001331246|NM_001331247|NM_001331248|NM_099988|NM_179237|NP_001030924|NP_001077437|NP_001184882|NP_001320627|NP_001320628|NP_001320629|NP_171614|NP_849568",839341,"3702.AT1G01060.2",NA,"261569_at",1,5.95033256285769,6.61953170917065,5.86575715539961,7.45988533502987,7.02339679773906,6.9802318148298,6.259605289025,7.18953716333983,6.68306658639614,7.17713770216109,6.366775062028,6.93751810234837,7.47879931296964,6.47027250088824,7.14699906347731,6.11011928159467,6.45902465739651,6.22068409449694,6.38095028243815,6.48363185911317,6.42370546772395,6.47100709066836,6.73497113901863,6.83623819632675,6.57467109761486,6.56355334257231,5.81489529931571,5.64781689162123,4.77564192118232,5.92604600347082,4.77735486600953,5.57772184236385,5.67164786478521,5.48356508372756,5.59189055248747,5.20368239189526
"AT1G01070","UMAMIT28",NA,"NM_099989|NM_202005|NP_563617|NP_973734",839550,"3702.AT1G01070.1","GO:0071944|GO:0110165|GO:0016020|GO:0005886","261576_at",1,3.18733961174538,3.20913502027955,3.82243324192967,3.69777066214795,2.41634106025326,3.43250501834892,5.21873817765001,5.35768848313671,5.55741805374055,5.17508112113027,5.74535449398872,6.14945698361696,5.52384242796815,6.00324931886301,5.99627076119884,5.91283011698007,7.89483224812175,7.9028212696437,8.04439657659707,7.19119464887556,7.98494753448974,7.33333012254151,7.68022666598903,7.85296288591285,7.21697172753772,7.87580450878052,5.88833518516579,6.08898893294701,5.84701957842954,5.43882356786941,6.15961755291883,6.23317093550121,5.84393234508021,5.88885739001283,5.66386106434236,6.06484754654083
"AT1G01080",NA,NA,"NM_001035848|NM_001331249|NM_099990|NP_001030925|NP_001320997|NP_171616",839463,"3702.AT1G01080.2","GO:0006725|GO:0046483|GO:0044085|GO:0016070|GO:0043170|GO:0006364|GO:0006396|GO:0010467|GO:0044237|GO:0034641|GO:0009987|GO:0006139|GO:0044238|GO:0071840|GO:0034660|GO:0090304|GO:1901360|GO:0034470|GO:0006807|GO:0016072|GO:0022613|GO:0042254|GO:0008152|GO:0071704|GO:0003676|GO:0003723|GO:0003729|GO:1901363|GO:0005488|GO:0097159|GO:0009534|GO:0031976|GO:0009579|GO:0043231|GO:0034357|GO:0042651|GO:0031984|GO:0005829|GO:0110165|GO:0043226|GO:0009507|GO:0016020|GO:0009535|GO:0043229|GO:0009536|GO:0005737|GO:0005622|GO:0043227","261577_at",1,4.57894701914621,4.13932205080945,4.00983577379591,5.19245271933692,4.38749477304906,4.72020943864248,6.4384450347794,6.40588589508301,6.38034540264002,6.44137695150252,6.18531207460642,6.32197024363956,6.65535596267924,6.31793971125114,6.15505150909592,6.3413892732095,4.47620470304264,4.6027579488128,4.78254767467267,4.33014413310751,4.81042444560751,4.85972856432248,4.51936332665402,4.90729438670782,4.53807861119417,4.46798857969074,3.58709890001363,3.63927715343306,3.42428999785679,3.52385587851993,3.62947369056392,3.50919502241902,3.59026440297208,3.97926634486338,3.571361028431,3.57561871434148
"AT1G01090","PDH-E1","pyruvate dehydrogenase E1 alpha subunit","NM_099991|NP_171617",839429,"3702.AT1G01090.1",NA,"261583_at",1,8.81531613063305,9.16854641926178,8.65802746160374,9.40580596891409,8.94504099693621,8.97845584573578,9.00131300887453,9.09726943367375,9.08805284282072,9.04155990891168,8.97004073049075,8.94096856585348,9.16457141530437,9.05337089446198,9.11285041467207,9.15349299468095,8.98939907638132,8.65745707094569,8.31385778066133,8.90794105994181,8.51097635849714,9.20486487709227,9.04647423525248,8.54421468925024,8.75016681314993,8.779959574817,9.26245973224228,9.22894849703344,8.95181120747067,9.37814760045345,8.99222986774288,9.29106888484375,9.23047238959806,9.11229945874333,9.4728353434361,8.95148176568659
"AT1G01100","RPP1.1|RPP1A",NA,"NM_001083969|NM_001083970|NM_099992|NM_179238|NP_001077438|NP_001077439|NP_171618|NP_849569",839410,"3702.AT1G01100.2",NA,"261578_at",1,9.58115107805126,9.59587453883748,8.85324846712099,9.60122873414168,9.32430526612888,9.61584315485161,11.4163943096413,11.3719762532767,11.1094345715064,11.2752918906938,11.3327280857204,11.2426191023767,11.2632778509643,11.333912851464,11.4795910497364,11.2791157708257,11.3541851678451,11.6667810884462,11.4142669090248,11.5300733491426,11.4250303312353,11.2761481482803,11.4242710067725,11.5033490698412,11.3683298577014,11.4334970826626,11.1704597849347,11.5603245454085,11.5244921568301,11.3359063152272,11.5399732145637,11.558927382939,11.3088613276107,11.5650306628225,11.2789792544951,11.2782021505261
"AT1G01110","IQD18",NA,"NM_001123732|NM_001331250|NP_001117204|NP_001318900",839394,"3702.AT1G01110.2",NA,"261580_at",1,3.23287628545824,3.53869712177035,2.97356741216388,3.09302434362536,3.61764293000715,2.95694716518202,3.82145405066396,3.48989301815134,3.51262706695851,4.07333123334865,3.95097267940612,3.97592288338105,3.54397225912712,3.80993216308997,3.71206529871662,3.77888992823716,2.84587398426942,3.14612412707395,2.82569091616238,3.09657246269952,3.26169283356589,3.10405443767993,2.61956526100479,2.7557942519937,2.79682523815776,3.17182452160097,3.40524530582305,3.79030733161343,3.60887038752325,2.97207909796857,3.28416177307862,3.39275612012054,3.62482873129049,4.05688090767088,3.44437281815924,3.97796942659298
