gene_set	cluster	organ	mean_scaled_expression	z	p_empirical	n_genes_tested
sog1_dependent	flower_0	flower	0.0153	-0.601	0.67832	18
sog1_dependent	flower_1	flower	0.0133	-0.536	0.65834	18
sog1_dependent	flower_10	flower	0.0177	-0.91	0.85015	18
sog1_dependent	flower_11	flower	0.1432	3.189	0.00799	18
sog1_dependent	flower_12	flower	0.1931	8.72	0.001	18
sog1_dependent	flower_2	flower	0.0195	-1.019	0.92208	18
sog1_dependent	flower_3	flower	0.022	-0.425	0.50749	18
sog1_dependent	flower_4	flower	0.0234	-0.495	0.61239	18
sog1_dependent	flower_5	flower	0.0141	-0.116	0.38861	18
sog1_dependent	flower_6	flower	0.0172	-0.041	0.35964	18
sog1_dependent	flower_7	flower	0.0515	-0.986	0.84615	18
sog1_dependent	flower_8	flower	0.0186	-0.593	0.67932	18
sog1_dependent	flower_9	flower	0.1089	1.87	0.06593	18
sog1_dependent	rosette_21d_0	rosette_21d	0.0135	-0.438	0.54545	18
sog1_dependent	rosette_21d_1	rosette_21d	0.0085	-0.474	0.59041	18
sog1_dependent	rosette_21d_10	rosette_21d	0.0155	-1.076	0.88611	18
sog1_dependent	rosette_21d_11	rosette_21d	0.0334	-0.585	0.65934	18
sog1_dependent	rosette_21d_12	rosette_21d	0.0207	-0.277	0.50949	18
sog1_dependent	rosette_21d_13	rosette_21d	0.0128	-0.649	0.68531	18
sog1_dependent	rosette_21d_14	rosette_21d	0.018	-0.677	0.72927	18
sog1_dependent	rosette_21d_15	rosette_21d	0.0125	-0.577	0.7013	18
sog1_dependent	rosette_21d_16	rosette_21d	0.0144	-0.521	0.65734	18
sog1_dependent	rosette_21d_17	rosette_21d	0.0372	0.847	0.15984	18
sog1_dependent	rosette_21d_2	rosette_21d	0.0148	-0.372	0.56144	18
sog1_dependent	rosette_21d_3	rosette_21d	0.0088	-0.879	0.83017	18
sog1_dependent	rosette_21d_4	rosette_21d	0.0122	-0.934	0.85015	18
sog1_dependent	rosette_21d_5	rosette_21d	0.0141	-0.589	0.7043	18
sog1_dependent	rosette_21d_6	rosette_21d	0.021	-0.376	0.51648	18
sog1_dependent	rosette_21d_7	rosette_21d	0.023	-0.942	0.82917	18
sog1_dependent	rosette_21d_8	rosette_21d	0.0118	-0.695	0.74326	18
sog1_dependent	rosette_21d_9	rosette_21d	0.0116	-0.56	0.65634	18
sog1_dependent	rosette_30d_0	rosette_30d	0.0069	-0.259	0.44156	18
sog1_dependent	rosette_30d_1	rosette_30d	0.0099	-0.368	0.52847	18
sog1_dependent	rosette_30d_10	rosette_30d	0.0728	4.461	0.003	18
sog1_dependent	rosette_30d_11	rosette_30d	0.0173	-0.736	0.76224	18
sog1_dependent	rosette_30d_12	rosette_30d	0.0164	-0.18	0.42158	18
sog1_dependent	rosette_30d_13	rosette_30d	0.0163	-0.269	0.50749	18
sog1_dependent	rosette_30d_14	rosette_30d	0.0105	-0.335	0.56344	18
sog1_dependent	rosette_30d_15	rosette_30d	0.011	-0.499	0.64236	18
sog1_dependent	rosette_30d_16	rosette_30d	0.1702	5.295	0.001	18
sog1_dependent	rosette_30d_2	rosette_30d	0.0113	-0.33	0.43556	18
sog1_dependent	rosette_30d_3	rosette_30d	0.0136	-0.273	0.46653	18
sog1_dependent	rosette_30d_4	rosette_30d	0.0182	0.04	0.33467	18
sog1_dependent	rosette_30d_5	rosette_30d	0.0095	-0.376	0.51349	18
sog1_dependent	rosette_30d_6	rosette_30d	0.0097	-0.735	0.75025	18
sog1_dependent	rosette_30d_7	rosette_30d	0.0166	-0.401	0.57243	18
sog1_dependent	rosette_30d_8	rosette_30d	0.0113	-0.259	0.46354	18
