run	node	node_size	module	module_class	module_size	overlap	expected	fold_enrichment	p_hypergeometric	p_bonferroni
A_primary_WildType__weighted	0	24	grey	DDR-core	37	12	2.83	4.243	1.2273833146089755e-06	3.6821499438269264e-05
A_primary_WildType__weighted	0	24	blue	early-response	201	12	15.36	0.781	0.9542131254346335	1.0
A_primary_WildType__weighted	0	24	turquoise	sustained	76	0	5.81	0.0	1.0	1.0
A_primary_WildType__weighted	81	14	grey	DDR-core	37	14	1.65	8.486	7.88738961593908e-15	2.366216884781724e-13
A_primary_WildType__weighted	81	14	blue	early-response	201	0	8.96	0.0	1.0	1.0
A_primary_WildType__weighted	81	14	turquoise	sustained	76	0	3.39	0.0	1.0	1.0
A_primary_WildType__weighted	729	20	blue	early-response	201	19	12.8	1.484	0.0012500314380120316	0.03750094314036095
A_primary_WildType__weighted	729	20	turquoise	sustained	76	1	4.84	0.207	0.9968028075211756	1.0
A_primary_WildType__weighted	729	20	grey	DDR-core	37	0	2.36	0.0	1.0	1.0
A_primary_WildType__weighted	756	15	blue	early-response	201	12	9.6	1.25	0.1470720673896109	1.0
A_primary_WildType__weighted	756	15	turquoise	sustained	76	3	3.63	0.826	0.7482210266884382	1.0
A_primary_WildType__weighted	756	15	grey	DDR-core	37	0	1.77	0.0	1.0	1.0
A_primary_WildType__weighted	6561	2	turquoise	sustained	76	2	0.48	4.132	0.05799637777009015	1.0
A_primary_WildType__weighted	6561	2	blue	early-response	201	0	1.28	0.0	1.0	1.0
A_primary_WildType__weighted	6561	2	grey	DDR-core	37	0	0.24	0.0	1.0	1.0
A_primary_WildType__weighted	6804	10	turquoise	sustained	76	7	2.42	2.892	0.0024383911743992423	0.07315173523197727
A_primary_WildType__weighted	6804	10	grey	DDR-core	37	1	1.18	0.849	0.7200991043306129	1.0
A_primary_WildType__weighted	6804	10	blue	early-response	201	2	6.4	0.312	0.9994318973582755	1.0
A_primary_WildType__weighted	13122	61	blue	early-response	201	58	39.05	1.485	5.562978923908836e-10	1.6688936771726508e-08
A_primary_WildType__weighted	13122	61	turquoise	sustained	76	3	14.76	0.203	0.9999982030845215	1.0
A_primary_WildType__weighted	13122	61	grey	DDR-core	37	0	7.19	0.0	1.0	1.0
A_primary_WildType__weighted	19683	99	blue	early-response	201	96	63.37	1.515	7.469316542926532e-20	2.2407949628779597e-18
A_primary_WildType__weighted	19683	99	grey	DDR-core	37	1	11.67	0.086	0.9999997218624009	1.0
A_primary_WildType__weighted	19683	99	turquoise	sustained	76	2	23.96	0.083	0.9999999999999093	1.0
A_primary_WildType__weighted	19710	51	turquoise	sustained	76	47	12.34	3.808	5.616164940829659e-31	1.6848494822488977e-29
A_primary_WildType__weighted	19710	51	grey	DDR-core	37	3	6.01	0.499	0.9618858112612833	1.0
A_primary_WildType__weighted	19710	51	blue	early-response	201	1	32.65	0.031	1.0	1.0
A_primary_WildType__weighted	26244	18	turquoise	sustained	76	11	4.36	2.525	0.0006372828911011793	0.01911848673303538
A_primary_WildType__weighted	26244	18	grey	DDR-core	37	6	2.12	2.829	0.011473694144278932	0.34421082432836797
A_primary_WildType__weighted	26244	18	blue	early-response	201	1	11.52	0.087	0.9999999959694588	1.0
