kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	0	0.0	1.065			AT1G25580	1.694	0.198	0.051	-0.147	2.94e-12
2way	0	0.0	1.065			AT2G35530	-0.893	0.144	0.304	0.16	7.62e-12
2way	0	0.0	1.065			AT2G04038	-0.559	0.124	0.276	0.153	7.87e-12
2way	0	0.0	1.065			AT3G62420	0.0	0.15	0.3	0.15	1.37e-10
2way	0	0.0	1.065			AT1G32150	-0.085	0.144	0.293	0.148	1.46e-10
2way	0	0.0	1.065			AT5G15830	0.105	0.143	0.288	0.145	3.35e-10
2way	0	0.0	1.065			AT5G08520	-0.566	0.114	0.247	0.133	5.34e-10
2way	0	0.0	1.065			AT2G18160	0.0	0.132	0.263	0.131	4.38e-09
2way	0	0.0	1.065			AT5G56840	-0.138	0.12	0.244	0.124	7.51e-09
2way	0	0.0	1.065			AT1G74840	-0.754	0.085	0.196	0.111	8.28e-09
2way	0	0.0	1.065			AT1G49010	0.0	0.105	0.219	0.114	2.33e-08
2way	0	0.0	1.065			AT4G29230	1.478	0.16	0.053	-0.107	2.9e-08
2way	0	0.0	1.065			AT2G36270	0.0	0.156	0.279	0.123	1.09e-07
2way	0	0.0	1.065			AT3G56850	0.264	0.156	0.276	0.121	1.72e-07
2way	0	0.0	1.065			AT5G61620	0.0	0.121	0.23	0.11	2.59e-07
2way	0	0.0	1.065			AT5G11260	-0.12	0.139	0.251	0.112	4.63e-07
2way	0	0.0	1.065			AT2G38470	0.289	0.189	0.085	-0.103	7.6e-07
2way	0	0.0	1.065			AT1G01060	-0.741	0.096	0.191	0.095	1.1e-06
2way	0	0.0	1.065			AT5G58900	0.043	0.091	0.184	0.093	1.18e-06
2way	0	0.0	1.065			AT2G30250	0.0	0.213	0.106	-0.107	1.43e-06
2way	0	0.0	1.065			AT3G09600	-0.668	0.101	0.196	0.094	1.9e-06
2way	0	0.0	1.065			AT5G47390	0.404	0.101	0.196	0.094	1.9e-06
2way	0	0.0	1.065			AT3G10800	0.0	0.062	0.141	0.078	2.83e-06
2way	0	0.0	1.065			AT4G18890	-1.399	0.013	0.06	0.047	3.07e-06
2way	0	0.0	1.065			AT5G29000	-1.172	0.076	0.159	0.083	3.17e-06
2way	0	0.0	1.065			AT1G69010	-0.435	0.122	0.219	0.097	3.89e-06
2way	0	0.0	1.065			AT1G45249	0.0	0.086	0.171	0.084	5.54e-06
2way	0	0.0	1.065			AT4G36780	-0.028	0.125	0.221	0.096	5.76e-06
2way	0	0.0	1.065			AT1G19000	0.0	0.121	0.212	0.091	1.29e-05
2way	0	0.0	1.065			AT2G23320	0.62	0.189	0.097	-0.092	1.38e-05
2way	0	0.0	1.065			AT1G78700	0.008	0.124	0.214	0.09	1.65e-05
2way	0	0.0	1.065			AT3G11280	-0.327	0.038	0.097	0.059	1.71e-05
2way	0	0.0	1.065			AT3G01970	0.318	0.171	0.083	-0.088	1.92e-05
2way	0	0.0	1.065			AT4G22070	0.412	0.127	0.051	-0.076	2.02e-05
2way	0	0.0	1.065			AT5G52660	-0.515	0.086	0.164	0.078	2.48e-05
2way	0	0.0	1.065			AT3G10580	0.0	0.097	0.177	0.08	2.89e-05
2way	0	0.0	1.065			AT1G29860	0.0	0.175	0.09	-0.085	3.28e-05
2way	0	0.0	1.065			AT4G31800	0.105	0.208	0.115	-0.093	3.4e-05
2way	0	0.0	1.065			AT2G20400	0.0	0.075	0.145	0.07	4.93e-05
2way	0	0.0	1.065			AT1G62300	0.109	0.151	0.074	-0.077	6.07e-05
2way	0	0.0	1.065			AT4G18770	0.676	0.156	0.078	-0.077	8.18e-05
2way	0	0.0	1.065			AT4G00250	-0.134	0.087	0.159	0.072	8.21e-05
2way	0	0.0	1.065			AT4G26640	0.284	0.095	0.035	-0.061	8.36e-05
2way	0	0.0	1.065			AT3G10113	-0.116	0.079	0.147	0.069	9.56e-05
2way	0	0.0	1.065			AT5G05790	-0.257	0.057	0.118	0.06	0.000112
2way	0	0.0	1.065			AT4G18170	0.0	0.167	0.09	-0.077	0.000141
2way	0	0.0	1.065			AT1G29280	0.0	0.183	0.104	-0.08	0.000202
2way	0	0.0	1.065			AT1G30650	0.0	0.17	0.094	-0.076	0.00023
2way	0	0.0	1.065			AT2G40740	0.792	0.174	0.099	-0.075	0.000271
2way	0	0.0	1.065			AT1G80840	2.774	0.035	0.002	-0.033	0.000315
2way	0	0.0	1.065			AT4G34590	0.0	0.041	0.09	0.049	0.000319
2way	0	0.0	1.065			AT1G28470	0.0	0.169	0.097	-0.072	0.000433
2way	0	0.0	1.065			AT5G09410	1.12	0.149	0.081	-0.068	0.000522
2way	0	0.0	1.065			AT1G01250	1.538	0.026	0.0	-0.026	0.000651
2way	0	0.0	1.065			AT3G23210	-1.105	0.017	0.051	0.033	0.000751
2way	0	0.0	1.065			AT4G23550	0.0	0.162	0.094	-0.067	0.000877
2way	0	0.0	1.065			AT1G72740	0.802	0.098	0.046	-0.052	0.00105
2way	0	0.0	1.065			AT5G02840	0.0	0.043	0.088	0.045	0.00117
2way	0	0.0	1.065			AT5G13080	-0.263	0.191	0.12	-0.071	0.00118
2way	0	0.0	1.065			AT1G75390	0.0	0.029	0.067	0.038	0.0012
2way	0	0.0	1.065			AT5G52830	0.0	0.156	0.092	-0.064	0.00133
2way	0	0.0	1.065			AT1G08010	0.44	0.097	0.046	-0.051	0.00148
2way	0	0.0	1.065			AT4G01550	0.437	0.118	0.065	-0.053	0.00212
2way	0	0.0	1.065			AT4G01250	0.0	0.136	0.078	-0.058	0.00232
2way	0	0.0	1.065			AT5G64060	0.303	0.131	0.076	-0.055	0.00266
2way	0	0.0	1.065			AT5G41570	-0.119	0.186	0.122	-0.064	0.00319
2way	0	0.0	1.065			AT5G06839	0.0	0.121	0.18	0.059	0.00357
2way	0	0.0	1.065			AT2G03340	0.0	0.074	0.032	-0.042	0.00362
2way	0	0.0	1.065			AT5G58850	0.0	0.184	0.122	-0.062	0.00397
2way	0	0.0	1.065			AT3G20770	0.713	0.096	0.051	-0.046	0.00436
2way	0	0.0	1.065			AT5G10030	0.0	0.15	0.212	0.062	0.00439
2way	0	0.0	1.065			AT1G08320	-0.422	0.142	0.203	0.06	0.00479
2way	0	0.0	1.065			AT2G03500	-0.202	0.084	0.134	0.05	0.00506
2way	0	0.0	1.065			AT1G18330	0.004	0.085	0.134	0.049	0.00545
2way	0	0.0	1.065			AT5G65210	0.0	0.121	0.177	0.057	0.00572
2way	0	0.0	1.065			AT2G46130	0.24	0.064	0.028	-0.036	0.00615
2way	0	0.0	1.065			AT5G17300	0.165	0.124	0.18	0.056	0.00626
2way	0	0.0	1.065			AT3G26790	-0.539	0.029	0.06	0.031	0.00655
2way	0	0.0	1.065			AT4G28500	-0.334	0.135	0.085	-0.05	0.0076
2way	0	0.0	1.065			AT5G26170	-0.049	0.179	0.122	-0.057	0.00761
2way	0	0.0	1.065			AT2G38090	0.0	0.0	0.009	0.009	0.00889
2way	0	0.0	1.065			AT3G12250	0.363	0.151	0.207	0.057	0.00889
2way	0	0.0	1.065			AT1G73730	-0.781	0.005	0.021	0.016	0.00964
2way	0	0.0	1.065			AT1G77640	1.208	0.03	0.007	-0.023	0.01
2way	0	0.0	1.065			AT3G27785	0.115	0.117	0.071	-0.045	0.01
2way	0	0.0	1.065			AT1G02250	0.335	0.113	0.069	-0.044	0.012
2way	0	0.0	1.065			AT3G45170	0.738	0.019	0.002	-0.017	0.012
2way	0	0.0	1.065			AT4G32730	0.38	0.24	0.18	-0.06	0.012
2way	0	0.0	1.065			AT5G06950	-0.455	0.114	0.164	0.05	0.012
2way	0	0.0	1.065			AT1G30490	-1.2	0.074	0.115	0.041	0.014
2way	0	0.0	1.065			AT5G04410	0.186	0.125	0.081	-0.044	0.017
2way	0	0.0	1.065			AT4G32800	0.208	0.06	0.03	-0.03	0.018
2way	0	0.0	1.065			AT5G45300	0.23	0.076	0.115	0.039	0.019
2way	0	0.0	1.065			AT2G31230	-1.091	0.12	0.166	0.046	0.022
2way	0	0.0	1.065			AT3G49530	0.402	0.109	0.069	-0.039	0.024
2way	0	0.0	1.065			AT4G01540	0.019	0.18	0.131	-0.049	0.024
2way	0	0.0	1.065			AT5G44160	-1.64	0.015	0.035	0.019	0.027
2way	0	0.0	1.065			AT1G43700	-0.635	0.024	0.046	0.023	0.029
2way	0	0.0	1.065			AT3G10500	0.0	0.116	0.076	-0.04	0.029
2way	0	0.0	1.065			AT2G17900	-0.386	0.002	0.012	0.009	0.032
2way	0	0.0	1.065			AT3G30530	-0.451	0.007	0.021	0.014	0.032
2way	0	0.0	1.065			AT1G21910	0.0	0.025	0.007	-0.018	0.033
2way	0	0.0	1.065			AT1G71696	0.231	0.145	0.104	-0.042	0.034
2way	0	0.0	1.065			AT1G13300	-0.538	0.01	0.025	0.015	0.035
2way	0	0.0	1.065			AT2G42590	-0.937	0.014	0.032	0.018	0.037
2way	0	0.0	1.065			AT5G67580	0.0	0.093	0.06	-0.033	0.037
2way	0	0.0	1.065			AT2G28920	0.0	0.032	0.055	0.024	0.038
2way	0	0.0	1.065			AT5G13790	-0.452	0.033	0.058	0.025	0.039
