kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	0	0.0	1.065			AT1G25580	4.335	0.131	0.013	-0.118	8.56e-10
2way	0	0.0	1.065			AT2G30250	0.485	0.231	0.106	-0.125	1.57e-09
2way	0	0.0	1.065			AT2G38470	0.242	0.202	0.091	-0.111	1.91e-08
2way	0	0.0	1.065			AT4G31800	0.0	0.219	0.123	-0.095	4.18e-06
2way	0	0.0	1.065			AT5G26170	0.193	0.198	0.11	-0.089	9.48e-06
2way	0	0.0	1.065			AT5G13080	0.217	0.206	0.117	-0.089	1.37e-05
2way	0	0.0	1.065			AT1G80840	2.45	0.04	0.003	-0.036	1.63e-05
2way	0	0.0	1.065			AT5G64060	0.759	0.14	0.077	-0.063	0.000239
2way	0	0.0	1.065			AT4G01250	0.423	0.144	0.082	-0.062	0.000418
2way	0	0.0	1.065			AT1G73730	-4.443	0.0	0.017	0.017	0.000826
2way	0	0.0	1.065			AT5G54230	-0.543	0.097	0.156	0.059	0.000901
2way	0	0.0	1.065			AT1G18330	-0.357	0.079	0.129	0.05	0.00212
2way	0	0.0	1.065			AT1G18570	-0.738	0.011	0.033	0.022	0.00577
2way	0	0.0	1.065			AT3G42860	0.0	0.091	0.051	-0.039	0.00715
2way	0	0.0	1.065			AT4G29230	0.977	0.076	0.026	-0.049	0.00723
2way	0	0.0	1.065			AT5G15830	0.0	0.061	0.115	0.054	0.00846
2way	0	0.0	1.065			AT2G04038	-0.513	0.053	0.104	0.052	0.00964
2way	0	0.0	1.065			AT5G17300	-0.1	0.121	0.17	0.049	0.01
2way	0	0.0	1.065			AT3G62420	-0.485	0.062	0.116	0.053	0.012
2way	0	0.0	1.065			AT4G18170	0.161	0.082	0.035	-0.047	0.013
2way	0	0.0	1.065			AT1G32150	0.0	0.064	0.115	0.051	0.016
2way	0	0.0	1.065			AT1G29860	0.0	0.077	0.032	-0.045	0.018
2way	0	0.0	1.065			AT1G62300	0.183	0.072	0.028	-0.044	0.018
2way	0	0.0	1.065			AT4G22070	0.0	0.058	0.02	-0.038	0.021
