kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	0	0.0	0.872			AT3G21890	0.827	0.108	0.042	-0.066	0.00182
2way	0	0.0	0.872			AT2G38470	0.773	0.148	0.081	-0.067	0.00727
2way	0	0.0	0.872			AT5G26170	0.324	0.165	0.097	-0.067	0.011
2way	0	0.0	0.872			AT4G14410	-0.232	0.0	0.011	0.011	0.013
2way	0	0.0	0.872			AT5G38800	0.0	0.0	0.006	0.006	0.024
2way	0	0.0	0.872			AT1G51700	0.037	0.102	0.055	-0.047	0.029
2way	0	0.0	0.872			AT5G49300	0.0	0.0	0.004	0.004	0.064
2way	0	0.0	0.872			AT3G23210	-1.234	0.01	0.032	0.022	0.071
2way	0	0.0	0.872			AT1G19000	1.605	0.062	0.019	-0.043	0.079
2way	0	0.0	0.872			AT1G34190	-0.83	0.046	0.082	0.037	0.112
2way	0	0.0	0.872			AT5G61600	-0.459	0.04	0.064	0.023	0.118
2way	0	0.0	0.872			AT5G06950	-1.219	0.051	0.087	0.037	0.13
2way	0	0.0	0.872			AT5G66700	0.99	0.072	0.033	-0.039	0.133
2way	0	0.0	0.872			AT1G64620	0.362	0.06	0.027	-0.034	0.144
2way	0	0.0	0.872			AT1G34370	-1.455	0.008	0.025	0.018	0.148
2way	0	0.0	0.872			AT4G00250	0.0	0.043	0.014	-0.029	0.149
2way	0	0.0	0.872			AT1G06850	2.205	0.041	0.01	-0.031	0.15
2way	0	0.0	0.872			AT1G74840	0.103	0.054	0.022	-0.032	0.15
2way	0	0.0	0.872			AT1G80840	0.158	0.024	0.008	-0.015	0.151
2way	0	0.0	0.872			AT1G01250	0.595	0.018	0.004	-0.014	0.158
2way	0	0.0	0.872			AT5G61620	0.578	0.07	0.034	-0.036	0.165
2way	0	0.0	0.872			AT2G44840	-0.076	0.123	0.157	0.034	0.168
2way	0	0.0	0.872			AT5G47390	0.0	0.059	0.028	-0.031	0.173
2way	0	0.0	0.872			AT4G01250	0.0	0.116	0.085	-0.031	0.177
2way	0	0.0	0.872			AT3G01970	0.565	0.058	0.026	-0.033	0.178
2way	0	0.0	0.872			AT3G55370	0.695	0.059	0.025	-0.033	0.195
2way	0	0.0	0.872			AT4G22070	0.0	0.106	0.076	-0.03	0.197
2way	0	0.0	0.872			AT4G32730	1.112	0.088	0.05	-0.039	0.197
2way	0	0.0	0.872			AT1G29860	0.0	0.058	0.027	-0.032	0.212
2way	0	0.0	0.872			AT4G18170	0.0	0.061	0.03	-0.031	0.217
2way	0	0.0	0.872			AT1G18570	-0.07	0.019	0.034	0.015	0.218
2way	0	0.0	0.872			AT3G45150	-1.381	0.005	0.017	0.012	0.218
2way	0	0.0	0.872			AT5G09410	1.77	0.045	0.018	-0.027	0.223
2way	0	0.0	0.872			AT5G62940	0.0	0.045	0.019	-0.026	0.247
2way	0	0.0	0.872			AT5G13080	-0.096	0.167	0.136	-0.031	0.25
2way	0	0.0	0.872			AT1G08010	0.458	0.026	0.007	-0.018	0.252
2way	0	0.0	0.872			AT2G46770	0.552	0.046	0.022	-0.024	0.262
2way	0	0.0	0.872			AT2G40740	0.14	0.063	0.036	-0.027	0.269
2way	0	0.0	0.872			AT3G30530	0.0	0.002	0.01	0.008	0.27
2way	0	0.0	0.872			AT1G13260	0.102	0.041	0.025	-0.016	0.279
2way	0	0.0	0.872			AT4G01540	0.73	0.061	0.033	-0.028	0.281
2way	0	0.0	0.872			AT2G30250	0.0	0.068	0.04	-0.028	0.286
2way	0	0.0	0.872			AT1G69570	-0.386	0.132	0.106	-0.026	0.291
2way	0	0.0	0.872			AT2G28810	0.0	0.055	0.029	-0.026	0.291
2way	0	0.0	0.872			AT5G66940	0.0	0.052	0.026	-0.026	0.291
2way	0	0.0	0.872			AT5G25830	0.0	0.027	0.01	-0.017	0.293
2way	0	0.0	0.872			AT1G69010	-0.437	0.054	0.083	0.029	0.294
2way	0	0.0	0.872			AT2G15740	0.287	0.048	0.026	-0.022	0.295
2way	0	0.0	0.872			AT3G23250	0.0	0.005	0.014	0.01	0.296
2way	0	0.0	0.872			AT3G30210	0.0	0.015	0.03	0.015	0.302
2way	0	0.0	0.872			AT3G28920	0.634	0.055	0.029	-0.026	0.304
2way	0	0.0	0.872			AT3G24050	0.0	0.021	0.007	-0.014	0.308
2way	0	0.0	0.872			AT5G62380	0.0	0.042	0.021	-0.022	0.308
2way	0	0.0	0.872			AT3G52440	0.0	0.064	0.038	-0.026	0.311
2way	0	0.0	0.872			AT2G02070	1.186	0.037	0.018	-0.02	0.316
2way	0	0.0	0.872			AT2G43000	0.368	0.066	0.043	-0.023	0.316
2way	0	0.0	0.872			AT3G22830	0.062	0.118	0.093	-0.025	0.317
2way	0	0.0	0.872			AT1G77200	0.006	0.07	0.044	-0.026	0.323
2way	0	0.0	0.872			AT5G45300	-0.446	0.027	0.045	0.019	0.325
2way	0	0.0	0.872			AT2G03340	0.0	0.023	0.009	-0.015	0.326
