Gene	10|1	10|2	20|1	20|2	45|1	45|2	90|1	90|2	180|1	180|2	360|1	360|2	720|1	720|2	1440|1	1440|2	20|3	20|4	90|3	90|4	180|3	180|4	360|3	360|4	720|3	720|4	1440|3	1440|4
AT1G01010	0.1584	0.1248	-0.1133	0.0478	0.2041	0.2275	0.681	0.2533	0.6269	0.5959	0.1749	-0.1598	-0.1011	-0.1387	0.913	0.1335	-0.2737	-0.1654	0.6071	0.8817	0.2602	0.6645	0.3136	0.2552	0.1437	0.1731	0.8746	1.357
AT1G01020	0.0598	-0.4846	-0.0063	-0.5417	0.343	0.1375	0.4152	0.0512	0.5287	0.1586	-0.2201	-0.3319	-0.1821	-0.5409	-0.0509	-0.1573	0.0603	-0.0336	0.3666	0.3499	0.088	-0.0634	-0.0504	-0.0962	0.0468	0.1175	-0.0239	-0.4174
AT1G01030	-0.8671	-0.8429	-1.1126	-0.9253	-1.186	-0.4065	0.0897	-0.1833	-0.6747	-0.1896	-0.879	0.2913	-0.8787	-0.79	-0.4669	-0.8998	-0.6173	-0.5299	-0.1529	-0.1723	-0.4342	-0.1617	-0.2356	-0.3734	-0.1864	-0.3071	-0.2792	-0.0506
AT1G01040	-0.4145	-0.1571	-0.4994	-0.3602	-0.563	-0.206	0.099	-0.1526	-0.3189	-0.342	-0.7347	-1.4871	-1.029	-0.9599	-0.7305	-0.5534	-0.1623	-0.624	0.1996	0.1787	-0.0916	0.1765	-0.0681	-0.2332	-0.1115	-0.1011	0.0575	0.028
AT1G01050	-0.3717	-0.1527	-0.2679	-0.1659	-0.1157	0.0958	0.2051	0.0932	0.1291	0.1791	0.0643	-0.3639	-0.1012	0.0265	0.082	0.0166	-0.0636	-0.2082	0.1716	0.0758	-0.1806	-0.0059	0.0845	0.15	0.0917	0.1275	-0.1599	-0.1074
AT1G01060	-0.9124	-0.1553	-1.1347	-0.6277	-0.3726	0.2807	0.5504	0.2987	-0.8537	0.1002	-1.3289	-2.1068	-1.1442	-1.6537	-0.1457	0.3005	-0.5112	-0.5936	0.1053	0.6213	0.5633	-0.1952	-0.317	-0.8741	0.719	0.6195	0.1322	0.448
AT1G01070	-0.2396	-0.2268	-0.5819	-0.4893	0.2982	0.2268	-0.1369	-0.1059	0.5474	0.3082	0.3194	-0.9038	-0.2189	-0.1254	0.3179	0.4228	-0.1167	0.0864	-0.1165	-0.5242	0.2714	0.391	0.1025	-0.1189	-0.59	-0.1453	0.0672	-0.5405
AT1G01080	-0.0943	-0.306	-0.2782	-0.323	-0.555	-0.4594	-0.3578	-0.5352	0.2066	0.3231	0.1691	-0.3154	0.3192	0.4794	0.1252	0.3607	-0.1495	-0.1393	-0.0856	-0.2203	-0.0414	-0.0862	0.0475	-0.0589	-0.0775	-0.0935	-0.1555	-0.3754
AT1G01090	-0.1037	0.0213	-0.1085	0.0775	-0.0584	0.0613	0.0675	0.2015	-0.0085	-0.0023	-0.331	0.0599	-0.6259	-0.532	-0.5236	-0.3643	-0.054	-0.1084	-0.0652	0.0316	-0.1232	0.134	0.053	0.1017	-0.126	0.025	-0.3117	-0.2964
AT1G01100	0.214	-0.1538	0.3335	-0.0098	0.1023	-0.1727	-0.0614	-0.2186	0.372	0.3078	0.0062	1.4802	0.2628	0.0519	0.2716	0.2066	-0.0013	-0.2869	0.0091	0.0455	-0.2374	-0.0211	-0.2651	-0.0908	-0.0946	-0.0311	-0.2556	-0.4942
