brapa_gene	agi	identity	evalue	bitscore
BRARA.A00004	AT4G38210	93	1.83e-179	493
BRARA.A00005	AT4G38190	97.7	0	2217
BRARA.A00007	AT4G38460	81.9	1.4e-181	503
BRARA.A00009	AT4G38495	75	2.78e-60	180
BRARA.A00011	AT4G38670	90.9	2.65e-187	514
BRARA.A00012	AT4G38700	77.7	1.35e-101	290
BRARA.A00016	AT4G38860	96.2	9.32e-72	208
BRARA.A00017	AT4G38880	86.9	0	890
BRARA.A00018	AT4G38890	81.2	0	1092
BRARA.A00020	AT4G38950	82.4	0	1264
BRARA.A00021	AT4G38970	97.7	8.81e-281	761
BRARA.A00023	AT4G39010	91.1	0	926
BRARA.A00024	AT4G39030	86.5	0	906
BRARA.A00027	AT4G39090	92.1	7.74e-255	692
BRARA.A00030	AT4G39140	81.9	3.91e-236	650
BRARA.A00032	AT4G39250	88	6.42e-55	165
BRARA.A00034	AT4G39320	69.1	8.7e-18	74.7
BRARA.A00035	AT4G39340	84.1	4.35e-72	211
BRARA.A00039	AT4G39360	56.9	7.75e-28	98.6
BRARA.A00041	AT4G39780	81.9	1.6e-152	426
BRARA.A00042	AT4G39770	90.3	1.38e-233	637
BRARA.A00045	AT4G39720	68.5	7.33e-96	284
BRARA.A00046	AT4G39710	82.1	8.34e-124	349
BRARA.A00047	AT4G39700	94.3	1.7e-106	300
BRARA.A00048	AT4G39640	89.3	0	1007
BRARA.A00050	AT4G39620	90.3	5.22e-165	477
BRARA.A00054	AT1G61540	54.6	1.12e-134	390
BRARA.A00057	AT4G39550	59.1	1.63e-147	422
BRARA.A00058	AT4G39590	51.6	2.82e-130	379
BRARA.A00060	AT4G39540	80.8	1.57e-162	454
BRARA.A00061	AT4G39520	97	1.79e-263	714
BRARA.A00062	AT4G39510	78	1.08e-294	805
BRARA.A00063	AT4G39420	86.1	0	5341
BRARA.A00066	AT4G39680	62.7	2.05e-211	602
BRARA.A00067	AT4G39675	57.8	1.6e-11	53.5
BRARA.A00070	AT4G39790	71.2	1.02e-195	557
BRARA.A00071	AT4G39795	69.5	3.67e-52	160
BRARA.A00072	AT4G39800	95.3	0	961
BRARA.A00075	AT4G39840	72.4	7.62e-165	472
BRARA.A00076	AT4G39860	87.7	1.66e-168	468
BRARA.A00078	AT4G39880	88.9	2.18e-103	294
BRARA.A00080	AT4G39910	97.3	1.21e-262	712
BRARA.A00081	AT4G39940	89.8	7.41e-195	535
BRARA.A00083	AT4G39952	81.2	0	1157
BRARA.A00084	AT4G39960	88	2.79e-261	716
BRARA.A00086	AT4G39980	92.6	0	942
BRARA.A00087	AT4G39990	92	4.27e-146	405
BRARA.A00088	AT4G40000	75.7	0	1092
BRARA.A00089	AT4G40010	86.7	4.64e-219	600
BRARA.A00090	AT4G40020	68.8	7.87e-185	534
