TF	family	name
AT1G01010	NAC	AT1G01010
AT1G01030	B3	AT1G01030
AT1G01060	MYB_related	AT1G01060
AT1G01250	ERF	AT1G01250
AT1G01260	bHLH	AT1G01260
AT1G01350	C3H	AT1G01350
AT1G01380	MYB_related	AT1G01380
AT1G01520	MYB_related	AT1G01520
AT1G01530	M-type_MADS	AT1G01530
AT1G01720	NAC	AT1G01720
AT1G02030	C2H2	AT1G02030
AT1G02065	SBP	AT1G02065
AT1G02210	NAC	AT1G02210
AT1G02220	NAC	AT1G02220
AT1G02230	NAC	AT1G02230
AT1G02250	NAC	AT1G02250
AT1G02340	bHLH	AT1G02340
AT1G03040	bHLH	AT1G03040
AT1G03490	NAC	AT1G03490
AT1G03790	C3H	AT1G03790
AT1G03800	ERF	AT1G03800
AT1G03840	C2H2	AT1G03840
AT1G03970	bZIP	AT1G03970
AT1G04370	ERF	AT1G04370
AT1G04445	C2H2	AT1G04445
AT1G04990	C3H	AT1G04990
AT1G05230	HD-ZIP	AT1G05230
AT1G05710	bHLH	AT1G05710
AT1G05805	bHLH	AT1G05805
AT1G05930	B3	AT1G05930
AT1G06040	DBB	AT1G06040
AT1G06070	bZIP	AT1G06070
AT1G06160	ERF	AT1G06160
AT1G06170	bHLH	AT1G06170
AT1G06180	MYB	AT1G06180
AT1G06280	LBD	AT1G06280
AT1G06850	bZIP	AT1G06850
AT1G06910	MYB_related	AT1G06910
AT1G07520	GRAS	AT1G07520
AT1G07530	GRAS	AT1G07530
AT1G07540	MYB_related	AT1G07540
AT1G07640	Dof	AT1G07640
AT1G07900	LBD	AT1G07900
AT1G07980	NF-YC	AT1G07980
AT1G08000	GATA	AT1G08000
AT1G08010	GATA	AT1G08010
AT1G08290	C2H2	AT1G08290
AT1G08320	bZIP	AT1G08320
AT1G08465	YABBY	AT1G08465
AT1G08810	MYB_related	AT1G08810
AT1G08970	NF-YC	AT1G08970
AT1G08985	B3	AT1G08985
AT1G09030	NF-YB	AT1G09030
AT1G09530	bHLH	AT1G09530
AT1G09540	MYB	AT1G09540
AT1G09710	MYB_related	AT1G09710
AT1G09770	MYB	AT1G09770
AT1G10120	bHLH	AT1G10120
AT1G10170	NF-X1	AT1G10170
AT1G10240	FAR1	AT1G10240
AT1G10320	C3H	AT1G10320
AT1G10480	C2H2	AT1G10480
AT1G10585	bHLH	AT1G10585
AT1G10586	bHLH	AT1G10586
AT1G10610	bHLH	AT1G10610
AT1G11510	GeBP	AT1G11510
AT1G12260	NAC	AT1G12260
AT1G12540	bHLH	AT1G12540
AT1G12610	ERF	AT1G12610
AT1G12630	ERF	AT1G12630
